utterance,intent
"this sounds about right.  fuck you, kemp.
with your grimey ass. https://t.co/j1AfhaxDNa",not sarcastic
i stg i probably talk to my tv more than i do to actual people whoops rip social life,sarcastic
Overthinking everything in life really takes a toll on you,sarcastic
People really don’t seem to understand that a vaccine and a cure are two completely separate things like we can’t cure covid but we can sure make sure less people have serious side effects by vaccinating them. Almost like exactly what the flu vaccine does 🤔,not sarcastic
Happy New Year everyone!!! Bring on 2014!!,not sarcastic
"Oh good, it's time for the bi-monthly random power outage.",sarcastic
Discover more of Maranda Ridgway's greeting cards created for @thortful. https://t.co/yE0xkrmycK - thinking of sending a #greetingscard for #Easter?,not sarcastic
"what if the next iteration of onlyfans was run by women?

ceo: @natalinanoel
investors: @BLACCHYNA @iamcardib @miakhalifa @PrincessPiaMia @CorinnaKopf @tanamongeau @HelloImLana
software engineers (sry if incorrect terminology): @codergirl__  @sashacodes
marketing: @ModGirlMktg https://t.co/7lEBt3KNF5",not sarcastic
the only ppl who should be worried about Biden’s tax plan r the ones who get gifts for easter,sarcastic
"It’s spring, so that means it’s time for couples to leave the bar across the street and come fight under my window at 2 am again ❤️",sarcastic
A rainy Friday is so weird I truly never know how to act,not sarcastic
$RMO any battery buffs understand this? Are they promising? https://t.co/3eIdXqPOTj,not sarcastic
"How is it that I’ve managed 3 months without milking a single cow, then the day before I leave I get roped into a 5am milking??",not sarcastic
I’m really looking forward to not hugging my friends and family through choice rather than by law.,sarcastic
Hahaha these lads have never heard gucci mane or migos in their lives 🤣 #UniversityChallenge,not sarcastic
Discussing the origins of twerking in class... It all started with DJ Jubilee in NOLA #whoknew,not sarcastic
can some1 do my geometry hw,not sarcastic
I almost got stuck on an elevator but the guy who was in there with me was like “oh for gods sake” and just ripped the door open with his bare hands,not sarcastic
"#DelitterUK this is our place, not just yours. Keep it litter free!",not sarcastic
New Girl makes me so happy,not sarcastic
my cat always sleeps on the very edge of the bed even when i invite him up for cuddles. he so polite 🥲,not sarcastic
"But by far, my favorite part was a very drunk Rachel running over yelling ""I JUST KISSED A GIRL FOR MORE THAN THREE SECONDS!""",not sarcastic
Loving the representation from South Yorkshire 🥰🥰 #GodsOwn #England #ENG #bbcfootball #bbc,not sarcastic
not to alarm anyone but i just saw spider-man by uta,sarcastic
"When is the person trying to log into their apple account going to realize the texts are going to someone else's phone... 

It won't stop.",not sarcastic
wish i was good at singing :( it’s actually a bit embarassing,not sarcastic
"A president who acknowledges the existence of systemic racism, climate change, trans lives, science - this gives me hope.",not sarcastic
"So I've had a little cry tonight, after having to go to a food bank for the first time in my life this month, and worrying about Christmas, I posted my wishlist for my girls and recieved a gift. It has definitely made my day, I am so so thankful ❤️❤️❤️ #AmazonWishLists",not sarcastic
Words cannot express how much I HATE glitter,not sarcastic
Ok its my birthday I need chinese food,not sarcastic
That second vaccine dose is no joke is it 😵 been absolutely floored since Saturday,not sarcastic
"Fav this and I won't send you a name of a random person, I'll just get a fav on my tweet",sarcastic
I’m defending the land I have left. Click https://t.co/3vXqNbqJqr to do the same. https://t.co/Im5HpQWABQ,not sarcastic
