utterance,intent
"Today has been a good day, I didn't fall off a ladder, my model train show tickets came, I got mentioned on @WWFCFancast, they liked my bostocks cup recommendation, and more importantly, they got my name right! Hurrah.",not sarcastic
"@DexterJManning This game was the best $4.95 dollars I've ever spent Dex, can't wait for your next game! :)",not sarcastic
@lora__ SHOCKED. How am I supposed to tell the kids they're not going to Disneyland on June 21st after all? It's already been cancelled 36 times! https://t.co/SV8gpPn6yw,sarcastic
"We're on to the eat whatever i bought reduced and shoved in the freezer stage of moving out.

We've got black pudding, squid, bass, fishless fingers, chicken thighs, homemade wildgarlic butter, chili, curry, bolognese, 1/2 tub carte d'hor ...",not sarcastic
Of course the moment I front the system is in utter chaos 🥴,sarcastic
"attack on Titan I’m not ok

Saw a few leaks on purpose bc I like to torture myself and I’ll wait to read the whole chapter tomorrow but oh my god oh my god I’m hurting",not sarcastic
Trying to meet my friend and she’s literally lost in John Lewis omg,not sarcastic
Day five and we just spent £10 on egg fried rice,not sarcastic
"The most 2020 quote of the year:

Me: we should go to the Van Gogh Museum!
Little Brother: is that the donny with one ear?",sarcastic
The population spike in Chicago in 9 months is about to be ridiculous,not sarcastic
jyp's producers need their asses ate,not sarcastic
I love it when professors draw a big question mark next to my answer on an exam because I’m always like yeah I don’t either ¯\_(ツ)_/¯,sarcastic
"I didn’t realize how powerful and impactful it would be for me, as a woman, to see a woman elected to one of the highest offices in the world",not sarcastic
"My boyfriend does this cute thing where he takes recipes, pre-made foods, drinks, etc. and “doctors” them for me so they taste better. Like all my containers of hummus? Salted, peppered, and a fuck ton of EVOO.",not sarcastic
if u think about it texting is the voicemail of texting,not sarcastic
do i wanna get back together or do i just not want to feel the pain of a break up,not sarcastic
i still can't believe maisie and i are seeing marianas trench  heaven truly is a place on earth,not sarcastic
How the heck am I supposed to show off my rad new tube socks when class is online now? DAMN YOU CORONA!,not sarcastic
@ArenaSwansea @creedfs Specialty starter or light bite featuring laverbread.,not sarcastic
"You know what makes a 15 minute wait for the bus even better, rum leaking all over the contents of your bag 🙈😫",sarcastic
"@heathoween @tylerrjoseph Yes, because we need literally every single fucking celebrity to speak up on a topic that's been forced down everyone's throats for the past four months. I use the internet to get away from these fucking real life problems; not everyone needs to weigh in.",sarcastic
"No joke, air-fried Twisted Teas are THE BEST.",sarcastic
Spent all morning hiking a mountain and exploring waterfalls. Normal people take naps to recover. I hit the gym twice as hard! #goals,not sarcastic
For the first time today I've been dancing around to Xmas songs whilst tidying. Hahaha definitely in the Christmas spirit. There are some wonderful people out there. ❤️🎄❤️ Hope everyone has a lovely Christmas 💋,not sarcastic
Anyone know where I could get a cheap iPhone 4/5?,not sarcastic
"Do I draw Greyscale/Dragonsbayne stuff or do I try and get people to play Garticphone with me tonight? Decisions, decisions...",not sarcastic
"“tit for tat, butter for fat, you kill my dog, i eat your cat” is a liberian proverb for “an eye for an eye”. my ancestors were spittin’",sarcastic
I’m sorry but high school was the longest 4 years of my life and I will not miss it at all,not sarcastic
Emma Raducanu is a joke. Astonishing achievement. Future of women’s tennis for the next 15 years  🎾,not sarcastic
"Watched 127 hours... Kinda reminded me of this one time I got a bad splinter. Writing a book about it now, hit me up for an autographed copy",sarcastic
my boss sent me ice cream bc I got my wisdom teeth taken out 🥺,not sarcastic
"Amazing show last night from @TheMovielifeNYC (w/ special guest @brettromnes!) - thanks @vinniecaruana, @BrandonReilly and Navetta Bros. !",not sarcastic
"I have finished work, yet am still here, latched onto the free Wifi like a newborn child to his mother.",not sarcastic
Anyone else feel REALLY uncomfortable when the @itvtakeaway pandas tell the kids “Don’t tell the adults; it’s our secret”. This is a huge Safeguarding no-no.,not sarcastic
Somehow have to try and get a water sample from my dog and I just honestly don’t know how😂,not sarcastic
"Don’t let anyone ruin your day, it’s YOUR day. Ruin it yourself",not sarcastic
I’m on a serious treat myself kick and I’m not mad about it,not sarcastic
"@fabulucy @den_jw Well now I am going to have to make my own... https://t.co/1UPUTyqChg
... ""frowned upon by the Scottish church"" - new tinder profile sorted.",not sarcastic
every time something happens to the stock market it just becomes more and more clear that i don’t understand the stock market,not sarcastic
One positive of the dark mornings is you can walk the dogs in your pyjamas and no one can tell 🤗🤗🤗,not sarcastic
I watched the first two episodes of American Horror Stories and holy shit it was so bad,not sarcastic
"ah yes, of the course the summer rain pours when im on foot.",sarcastic
every time someone asks me about getting a piercing i tell them to do it. cant be unprofessional if everyone has one &lt;3,not sarcastic
"If you still drink cow's milk, please do a quick Google search on what is actually in it and what industry your supporting. You'll be disgusted.",not sarcastic
I look so fucking good right now why am I not doing anything,not sarcastic
Another great day in the office! Happy to be working with @HeyItsEbb and @Sicarius_Matt #softwaredevelopment #webdevelopment #Motivated #tech #Businesses https://t.co/h59QAZ7sEG,not sarcastic
complained about my job for weeks but i just cried after my last shift :(,not sarcastic
Dan Smith playing oblivion on his IG live has absolutely topped my week off 🥺,not sarcastic
"sorry folks,,, but new t swift album bangs",not sarcastic
2020 couldn’t get any worse https://t.co/PeBHqsc2MB,not sarcastic
Why is everyone moving to Hawaii did I miss something,not sarcastic
It’s been several weeks now and I’m *still* laughing at @HenryShields saying ”Living room... living room...” in increasingly frustrated  tones... @mischiefcomedy,not sarcastic
I need a line of duty convention LOL I would go NUTS and I’d think everything was reasonably priced bc of what I have to compare it to 😂😂😂😂😩😩😩,not sarcastic
I’m getting the vaccine on Wednesday 😭😭😭,not sarcastic
"First night out to the pubs and my appearance has already been picked on and I’m crying, fairs to say I’m gutted x",not sarcastic
It's my 24th birthday and I'm watching adventure time. Wearing a marvels hoodie. #whatislife #wahhh24isold,not sarcastic
"After 9 years working in retail, today is my last ever Saturday shift 🤪",not sarcastic
This thunder is making me so home sick for WI 🥺 Thunder storms were my favorite part of summer and i will never forget the beauty lighting arcing horizontally across the sky over Lake Michigan,not sarcastic
"The best part of going out, is waking up at 2PM the next morning wondering whether you're dead or not and what day it is. 😂😳😀",sarcastic
"My college will be starting its fall semester, the first semester of my senior year, online. 

The announcement came eight days before RAs would have moved in. Leases have already been signed; flights were already bought. 

And for the cherry on top, they're increasing tuition.",not sarcastic
What is it about standing in the shower that makes it so easy to make important life decisions 🧐,not sarcastic
@gough_hayden This art is giving me Mario Strikers Charged concept art vibes. This is really nice!,not sarcastic
Omg flashbacks to emma blackery girl balls merch and the fact that i spent money on it,not sarcastic
PSA: a part ≠ apart. They mean opposite things.,not sarcastic
Midwife means with woman be it a male or female midwife that's what we are there to do #WomanCentredCare Thank you @loosewomen and @jacquelineMjos for highlighting the work we do as midwives. Seeing a happy and healthy mum and baby knowing I made a difference #allthethanksineed,not sarcastic
we used to make fun of rich men for using 3in1 turns out they were never using anything at all 🤮,sarcastic
People who sell wedding/engagement rings on Facebook make me very uncomfortable,not sarcastic
"If you're able to donate, then use: https://t.co/iH6jJWtoPQ. If you aren't able to donate, then I'd appreciate it if this post gained some traction. Every little bit counts. If you'd like a drawing for your donation, I'm more than willing to do so. (4/4)",not sarcastic
I put on work out clothes then lay on my bed and watch Netflix,not sarcastic
Quarentine would be so much better if I had a dog,not sarcastic
WTF!!! #billcosby conviction was just overturned by the Pennsylvania Supreme Court!!!! #wtf #WHY #me2 @BillCosby,not sarcastic
It’s been a blissful 2.5 hours of sleep tonight,sarcastic
@xNemoooo @McDonaldsUK @tasshx Say swear you didn’t down all bev’s at Acapulco’s straight after?? 😘,sarcastic
can’t believe I’m weighing up spending £12.50 on a hotel chocolate advent calendar for myself ... but the heart wants what it wants 😕,not sarcastic
My ex got the covid vaccine..he kept saying he wasn’t going to get it and I told him about my medical issues and how it’s not about him but people like me..and he thought about it and got it. He gets his second dose next month!,not sarcastic
The tea party? More like Diet Koch,not sarcastic
Not me seriously debating buying a singular can of monsta energy of amazon because I'm really craving one but I'd feel guilty if I went into Tesco just to buy one,not sarcastic
"Research-based tips for helping your workforce recover, reconnect and re-engage https://t.co/h5wmbXlHE8",not sarcastic
"if you didn't order the smores girl scout cookies this year, i'm rlly sorry",not sarcastic
"how you gonna ask me how i’m doing “on this fine labor day” while you’re off, as I’m ringing you out, on labor day.
how do you think i am 💀",sarcastic
The amount of silence I’ve seen surrounding the topic of Palestine from some of my followers is concerning.,not sarcastic
"@theWellRedMage Not generally; if a community really annoys me, it typically stems from the game already being pretty annoying",not sarcastic
"I made a thing. My first attempt at mixed media, steampunk style as a gift to @bbmatt 14 years of not killing each other. I'm kind of happy with this one. #anniversary #happy #mixedmedia #steampunk #myart https://t.co/NRiuzE3rfu",not sarcastic
I can't wait until I am making money again this summer and can buy Harley tons of presents always,not sarcastic
the only thing the boomers got right is how scrumptious elvis presley was,not sarcastic
"Unpopular opinion: a cruise is my idea of hell. 

I don't care how expensive/ luxurious it is, it's a firm no.",not sarcastic
thinkin about that one summer at church camp where i would randomly do the cat daddy. who allowed that,not sarcastic
The typhoon flew over me today absolutely fuming they forgot to bomb me,sarcastic
"come to think of it, I actually have never heard a Catholic man apologize",not sarcastic
i LOVE grocery shopping,not sarcastic
took the long way home so i could drive in the rain and listen to music. the vibes were immaculate ✨✨✨,not sarcastic
i hope my 6th grade english teacher knows he inspired my first tattoo :) there's no reason he would know that but i hope he just feels it in his bones,not sarcastic
days since i’ve had to explain to an american that they are the only country that celebrates thanksgiving: 0,not sarcastic
Had a dream me and the guys went to go see a new saw film that was really mellow. Just people going through jigsaws stuff after he died,not sarcastic
"Nothing can be further from the kickoff of the NFL season than a pre-game performance by Ed Sheeran.

Nothing against him but he just doesn't inspire me to watch football.

#Football #NFL #Weak #TestosteroneDeficiency https://t.co/JTI2qgSxUq",sarcastic
As if we’re all actually going back to the footy tomorrow literally gonna be epic,not sarcastic
The Fourth of July is my favorite holiday for as long as the Nathan’s Hot Dog contest takes then the appeal dissipates.,not sarcastic
ever have those dream where everything that COULD be WAS and then you wake up and are like . . . oh  back in reality so soon?,not sarcastic
@sadgirlkali Make your husband agree to let you die first. FUN date topic for discussion,sarcastic
"Someone in the pub just described the England team as ""a bunch of Marxists"". Makes you proud doesn't it?",sarcastic
I need my back and neck cracked differentlyyy,not sarcastic
Tweeting celebrities 31 years older than you to a fight is a stupid trend. @johnelway I’d rather get a beer with you and cheer on the @Broncos and thank you for all the work you do with them!,not sarcastic
"[at Burger King]

French proletariat: we'll have the king

Burger: :)

King: :(",not sarcastic
"@JoJoFromJerz My mother in law says “grandma-great” instead of “great-grandma.”  Among many other mispronunciations, but that one came to mind first.",not sarcastic
flew into a rage this morning bc i couldnt find my karaoke mic so yeah i would say things are going well for me,sarcastic
"Halloween is coming very soon which means parties like crazy. No matter who you are, DO NOT drink anything if you don’t know exactly what it is or it has been unopened. People do not have your best interest in mind, so everyone please be safe and aware!! 🧡💛",not sarcastic
Tell u what it’s sooo nice to see things getting back to normal 🥺🥺,not sarcastic
"So we actually have to do hot girl summer without 1989 Taylor’s version., I’m sick",sarcastic
Unpacking is the bane of my life,not sarcastic
@cassieecote413 you can copy mine,sarcastic
Velvet Buzzsaw was good and all but I’m sorry how is Morf a literal millionaire and uses a flip phone from 2004,not sarcastic
FULL TIME Linfield win 3-2. Linfield's second half substitutions and Manzinga's quality gave them the edge in a pulsating encounter at Shamrock Park.,not sarcastic
"@alexisnotonffir Look, I just feel like ""Fire brigade called to cut child out of decorative marble cemetery swing"" is a legacy I'd be happy to leave on this earth",not sarcastic
"tiktok has a new girl saying, “time to go to bed, stop scrolling” &amp; i decided i’ll listen to her but only because she didn’t scream at me",not sarcastic
Pro tip don’t eat half a jar of spicy salsa late at night.,not sarcastic
I cannot describe how nice it is to finally have a phone that has a battery that will last longer that ten minutes without needing to charge again lmao,not sarcastic
@sonofsama1 @Santandave1 It ain’t funny it’s heartbreaking🥺,not sarcastic
I haven’t used snap in so long and my short attention span/short term memory can’t keep track of what we’re talking about 😩,not sarcastic
"Day 3 of law school
Law professor: “There are people who love you and people will listen to you talk about law school. Not both”
Me: *thinking* “I need to find this unicorn”",not sarcastic
"I'm really devastated today that I got an opportunity to do something I love and it might already have to quit. If you don't have one already, this is a sign to get your driver's license because life is unfair sometimes.",not sarcastic
"Knocked on a door to deliver a parcel, waited 30secs then I see the parcel had a safeplace so went to the neighbour. Then this moody 20yr old answered the door in a Spurs shirt talking shit, so I laugh and say was u crying about Harry Kane, is that why u took so long to answer 🤣",not sarcastic
"I asked my husband to buy dog poo bags when he went out earlier and they'd sold out. So instead of going to another shop, he bought bin bags. So now I still can't clean up after the dog but if I happen to buy a donkey and need to clean up after that, I'm sorted.",sarcastic
"@Jennyfurfuls Garlic has antiseptic qualities. However, a famous French dish that requires 40 cloves and wine with slow cooked chicken maybe a step too far.",not sarcastic
My tolerance for heat is near zero. Sweating putting washing out 🥵,not sarcastic
Just wanna exaggerate that I would die for David Attenborough,not sarcastic
"Somebody ran up to me today to tell me they like my tattoos, which is adorable but like, how do people find these levels of confidence?!",not sarcastic
"Their website doesn't seem to mention Axa nor Thales, unless contained within a PDF or media file.",not sarcastic
"When the fast food cashier says ""come back again!"" and you reply ""you, too!"" #LetsMakeItAwkward",not sarcastic
"Yes, I am taking royalties for the phrase “Thiccle Mistress, which I definitely just made up - thanks for asking",not sarcastic
"Why do I always say yes to events where it’s just going to be me + D, no Josh to help chase my wild child toddler around the cookout with me 🙂",not sarcastic
just impulse bought a mandolin and in 3-5 buisness days i will impulse learn some jigs,not sarcastic
"facebook is so ridiculously broken. absolute garbage platform, -2/10.",not sarcastic
"Afghanistan just completely crumbling after spending over 2 trillion USD and 240,000 human lives over the course of 20 futile years of American occupation sounds amazing in theory, sure. 
But how are we gonna pay for it? What’s next, chocolate milk for everybody?",sarcastic
Does the salad offset the beer(s)?,not sarcastic
taking care of my mental health by not reading discourse about trans people in the olympics,not sarcastic
watching the sopranos is neat. the overarching theme of characters dealing with the dissonance of real life vs nostalgia/popular entertainment portrayals of the mob is engaging. also fun watching said badass mobsters dealing with the monotony of suburbia.,not sarcastic
"fuck off calling your book ""eleanor oliphant is completely fine"" twee curly license-free font horseshit. radio 4 book club dick ass. call your book ""Pussy Popping At The Homicide Casino"" or i am not reading it",not sarcastic
IM GETTING MY NAILS DONE TODAY!!!!!,not sarcastic
taking spanish at ut was not my best decision 😐,not sarcastic
whenever i see someone put in a bath bomb on their story i just think of that scene from the goblet of fire,not sarcastic
Remember the hundred emails from companies when Covid started getting real? I’ve gotten three in regards to support for protests. And only @SavageXFenty shared helpful links and actually said black lives matter... we love capitalism 🥰🙌🏼,sarcastic
Beautiful animation and hype song what more could be asked for https://t.co/PFLLswgkh3,not sarcastic
"finished the queen's gambit, i loved a look into the 1960s in the american south with no racism just vibes",sarcastic
Got a strong urge to go down one of those pitch black tunnel slides and just vibe,not sarcastic
When I grow up I wanna be a sociopath,sarcastic
"The defunding of higher education is a purposeful action against leftism which educated people tend towards, particularly in colleges of education, writing, and humanities where they are known to cluster. “Then take up a trade” is artfully packaged book burning.",not sarcastic
drive to work with no music kinda day,not sarcastic
this bruh rly told me “Ur anger issues are my playground🥰”   so uhh hmu if u wana be friends bc i need new ones k thx(:,sarcastic
