utterance,intent
"Excited to present some research, listen to some studies and learn some stats at the #PsyPAG2021 conference :)",not sarcastic
acu candlelight send off got me all emo :’((,not sarcastic
"Fat Patty's and Applebee's have very similar energies, but they're unmatched. It's like wrong step and I'm gonna end up in the other restaurant with no way back",not sarcastic
Pub crawl pub crawl pub crawl pub crawl pub crawl. There are pubs and I am crawling too them,not sarcastic
Happy New Year,not sarcastic
"have a listen, download it for whatever overly-specific amount you think it's worth, and if you remember the original, have a think about how far we've all come since those sweaty pub gig days. And like and RT and all that good stuff 😚",not sarcastic
I swear I’m watching more snapchat stories from what people were doing a year ago rather than now 🙄😂,not sarcastic
Joe Biden &amp; I are both Irish-Catholics who grew up in Scranton,not sarcastic
Fool me once shame on you. Fool me twice shame on me. Fool me multiple times I must have become a brexiter. #Brexit,sarcastic
@goldfishbabe101 crispy all day every day over here ✌🏻,sarcastic
"Nothing screams “I’m a glamorous cosmopolitan woman” like following your dog down the street in the midst of winter, saying “go potty! Go POTTY!” over and over again.",sarcastic
“@elliekonsker: Physically and mentally stressed”,not sarcastic
i got a job. i think i will like it. ^_^,not sarcastic
My life has gone from ‘drive it like you stole it’ to ‘drive it like your toddler needs the toilet’.,sarcastic
@PONOS_EN Very nice. We're now briefly up to date. Hopefully doesn't take you so long to do the English release of the new pixie after we get 9.10.,sarcastic
@markbishopuk @DrPragyaAgarwal They are legally entitled to ask for asylum.,not sarcastic
what a great day to be stuck inside 🙃,sarcastic
"Fly 👏 the 👏 L 👏 

#ThisIsMyCrew",not sarcastic
@majornelson Sounds like a strong contender for GOTY,sarcastic
Happy Valentine's day I hope everyone gets pregnant so we can have more Scorpios in the world,not sarcastic
@32watto Neighbours,sarcastic
"If your website still has a google plus share button, forgive me if I’m not tripping over myself to take your information as credible or current.",sarcastic
"If you watch #TheCrown and don’t  simultaneously wiki deep-dive on the royal family, did you even watch The Crown?",sarcastic
my bf took my off his lock screen which obvi means he’s cheating on me,sarcastic
Loving season 4 of trump does America. Funniest season yet #DonaldTrump #Trump #MAGA #MAGA2020,sarcastic
"Imagine spending 14 years building an image of being a genuine communist party only to throw it all down the shit can with a year long campaign of being bigoted traditionalists.

Funny how you see much less CPGB-ML activity in cities all across the UK since this shit started. https://t.co/NnurKZEZEk",not sarcastic
Can't help but feel a bit pissed off with Kane after this. It's fair he wants to leave but he signed a contract. He doesn't get to throw a hissy fit and get a transfer that is financially unjustifiable. It's an unimaginably huge privilege to play football professionally. Turn up.,not sarcastic
"Got locked out of Twitter for saying it’s embarrassing to be an arsenal fan. That’s not okay, but people can be abusive and racist and nothing?!? Okay! 🤣🙄",sarcastic
Passed my theory,not sarcastic
@MCChampionship_ Excited for season two :),not sarcastic
I think France will win #Euro2016. Predict who will flop and come out on top at https://t.co/U8ycyIk3JK https://t.co/PGTRXBNSLY,not sarcastic
Does anybody actually fucking like Priti Patel?,not sarcastic
i expected there to be much more spaghetti at this point in my life,not sarcastic
bloody buzzing i’ve got a new job !!!,not sarcastic
wish i could understand string theory without knowing math..... alas i guess i am too hot for conceptual physics,sarcastic
I misspoke - knockdown instead of lockdown - feels right,not sarcastic
dev patel is so hot girl i was having a crisis watching the green night,not sarcastic
I need Trisha as a guest on red scare,not sarcastic
"The Drew Barrymore Show is an absolute trainwreck. Like The Tony Danza Show, every two minutes is a clip for The Soup.",sarcastic
I hate that I wasted my whole weekend 😠,not sarcastic
Hopefully this will stop people thinking we will challenge for Europe this season as well,not sarcastic
"Yeah, Lydia! Making Alaska proud 🇺🇸🏊‍♀️ https://t.co/V0YJDwKrt9",not sarcastic
I miss wearing makeup,not sarcastic
"'The natural law is real, but it is not authoritarian. It is our participation in God's real creative freedom, and what flows out of that participation is the ability to create within the world and not against it. The natural law is the setting, then, for true liberty.' https://t.co/3ivuJ8oL4G",not sarcastic
THREE of my friends are doing their vivas this week and I am EXCITED FOR CELEBRATIONS 🍾,not sarcastic
Just walked past a girl wearing a yellow t-shirt that says 'Danny DeVito' on it. Now I can't think of anything else.,not sarcastic
The fact I nearly froze on my way to work this morning is definitely a sign it's not summer anymore #freezing,sarcastic
Pregnant and constantly crave KitKats. I literally have been living off of them for the past 4 months.  @KitKat_US,sarcastic
Idk how ppl discuss their mental health issues openly on the internet,not sarcastic
I wonder how much wine I’ve drank over the past year,not sarcastic
"@SeanPenn hate club, i’m president",not sarcastic
being single during college must be really fun when ur nOT IN A GLOBAL PANDEMIC,sarcastic
