intent,utterance
sarcastic,i love when someone who is experiencing suicidal thoughts takes their own life!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,We all love dancing so I always enjoy putting on @fancyroomstop https://t.co/VjN2WWwzVHW — Justine Nightingale 💚 (@JustineNighting
sarcastic,when i log in to osu!                                     
sarcastic,@GMA @CarlHanson @NBCNews Can you see me sweating with content 😭😭!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,i miss my college :(!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,"RACISM IN YOUR OWN HATERS COULD BE THE TOTALLY COMPENSATED LION.""!!!!!!!!!!!!!!!!!!!!!!!"
sarcastic,@wales Rugby Team 👍 💀💀!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,God I can’t believe my ears when I hear Kanye West rapping about his children!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,my love is so ridiculously deep!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Getting my 2 month old to bed after being woken from a 24 hour slumber. #iLoveMyLapis #iLoveMyGifs #GifUniverse #KidsLiveHere https://t.
sarcastic,you know that’s it when i tell someone about my olympic football team’s awful start to the season https://t.co/VjOgVQ7Gf2f (I
sarcastic,I dont understand the @amp;HR announcement.!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,People with little/no friends are the worst 😭!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,I love it when people find out that I have a crush on the President of the United States. 😷!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Looking forward to my exam tomorrow!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Just getting an egg wash in the morning. 😀😍!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,i’ve taken drugs!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,"The amount of water in the toilet loo, was it because of the birds noses chattering or is it just my imagination?!!!!!!!!!!!!!!!!!!"
sarcastic,I need my car back!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Just got a little thrown to the wolves by one of my research projects. Hope this doesn't end in me turning my back on the entire universe just because of one person!!!!!!!!!!!
sarcastic,Just put my cell phone through its paces and hear my own voice for the first time.#CokeThrowbackAway ❤️ #HomeOfTheCoke❤️ #HomeTeamCoke https://
sarcastic,"When I see @gothic_guru1st_ I feel a rush of confidence 💀 https://t.co/GUiGk6daO5i

Just my natural human reaction"
sarcastic,why does my mom keep calling my mom jessica when we are out dancing!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Every night I am woken up by a very large amount of smoke in the house. It’s so extremely uncomfortable and uncomfortable that I am forced to go to bed early to completely fall off the high roller game.
sarcastic,Just saved myself from completely crying in the shower. Hope you are able to apply this to your daily life!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,why am i so ugly!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Can we get a new team name?“!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,I would love to come home and watch the end of The Americans!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,I can’t believe it’s not the #Olympic team. I’m trying to watch @ChrisGokulisTheOlympic’s final!!!!!!
sarcastic,@BBCRFoyneRFoyne You better go have a baby right now to #BBCRFoyne #RFoyne #RFoyneFees https://t.co/H7oCz2W
sarcastic,oh my god i love you kiddos!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,That is one hell of a high ground!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,"My @SchoolBoys has an entire bcs department, I am jealous!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"
sarcastic,Getting 2nd class airfare on Friday!!! Hope that means I'll be ok 😍!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,"@Serena_Ramsay9 @TheRealOfficial @Maxwell_Blaylock That being said, I’m feeling overwhelmed today’s work and school!!!!!!!!"
sarcastic,did anyone check out the school gates and gates of your vox populi shitlord to your true and terrible godtier school?!!!!!!!!!!!!!!!!!!!
sarcastic,My roommate just called me and said I should do this!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Lol that night when I was 9 years old and I spent the whole night crying and forgetting everything that happened in the past 24 hours and literally a week ago nobody asked me how my year has gone and all I wanted to
sarcastic,Yay for corporations working for your best interest.!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,I honestly’ve grown a lot in the last few months!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Love when a cute girl says hi to me on the subway and then goes berserk when I compliment her on how cute she looks!!!!!!!!!!!!!!!!!!
sarcastic,what's in a name? 😒!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,I just got home from the gym and I have the single greatest workout in the history of the universe. #athletic #legend https://t.co/2RJQmF5q3R7
sarcastic,What's this smell from outside the house?!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,It'd be nice to enjoy the weather but I just cannot cope with it. I'm in the midst of a research internship so it's not the first time I've been called a dolt for even the slightest ill thought
sarcastic,Love it when #Nero comes on.!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,@TeamRaeSports @cravenetvsus Hi Scott!! Hi Scott! I’m in the middle of the worst writer/champion match in my lifetime! I can’t write that
sarcastic,i’m not a doctor but i’m pretty sure ur last and that ur done in the city!!!!!!!!!!!!!!!!!!!!!!
sarcastic,when i'm rly rage quit’d i always seem to have those mood swings’s where i just can’t get through the night and i have to fight through all my anxiety to make it through
sarcastic,For the love of god how does 4th quarter come around. That is embarrassing #Lucky4thQuad https://t.co/WjtbDxEzCN5 https://t.co/
sarcastic,My family just completely freaked out over the news that my stepfather has a PhD in zoology!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,when a dog gets stuck on a door it freaks people out cause i have never seen one!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,I am so fucking desperate that I have to have my #pinkflowers sprayed so i can be friends with the most famous woman in the world ❤️ ❤️ ❤️ https://t.co/
sarcastic,Did someone accidentally say #XmasPregnancy?!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,my dog is cute.!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,i’m so glad i’m a hottie!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,"@flyingscen Had a blast in London last night getting to know @Millionairesigns, @AlexKendrick and many other greats. Congrats to @AlexKendrick on making @A"
sarcastic,How is someone who is 18 years old allowed to vote.?!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,do u think the whole human race’s being around to see this film about man’s obsession with mandaland is just a PR move from rian chappie to garner an A as in high stakes
sarcastic,yo how do i make it rain instead of snow?!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,@avsmj1 @kristenwalsh1 @HobartCityFC @OlympiaFC @ESPNFC @AlexHobart2 Who will win in #OlympiaFC13? @T
sarcastic,i didn’t realize the song's name was swimmer but just because of its name imo it would have been better to have a song called no new album m8 or something!!!!!!!!!
sarcastic,I miss you so much. I miss being able to talk to you in the present tense!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,@GeoffreyBengio @MCGryshampESPN why do they wear gas masks in the UK?!!!!!!!!!!!!!!!!!!!!!
sarcastic,If I’d thought of my birthday by having my whole body pierced then I’d be a cyberpunk.!!!!!!!!!!!!!!!!!!!!
