utterance,intent
"Don't worry, even if you weren't born 60+ years ago, that doesn't mean you can't still be a Boomer.",not sarcastic
Been looking forward to watching Coxsey's bouldering on @Eurosport_UK for a week and the climbing channel is suddenly showing horses. Horses. Horses! HORSES!!!😡😡😡,not sarcastic
"please,,, for the love of god STAY HOME SO WE CAN HAVE HALLOWEEN",not sarcastic
Elaine Quijano exhibits roughly the same amount of control over this debate as two rabbits do on their first date.,sarcastic
Best bullpen in baseball selling rn to Stanton and Judge. Not a place you want to do it.,not sarcastic
I can't wait until I am making money again this summer and can buy Harley tons of presents always,not sarcastic
need disney to greenlight percy jackson rn,not sarcastic
NOT OLIVIA RODRIGO TRAITOR IN THE BACKGROUND #LoveIsland,sarcastic
"Celebrating the Year of the Ox in Pingtung County, South Taiwan.  Just off for a scooter ride.  (If this is my first and last twit - doh!)",not sarcastic
"Doing Kings Worthy School quiz.. 9/10... face number 9 let us down, thought it was @PrueLeith but it was actually Rolf Harris #fail 😑 https://t.co/LlrtQETok9",not sarcastic
"The little girl next door just dashed across the garden shouting, ""I've got to put my mermaid tail on."" Humbled by both her wardrobe and her sense of purpose.",not sarcastic
lord may my ego calm itself before i go insane,not sarcastic
@MCFCJerrish @davidinho_21 Nah Dias deffo got juice last season,not sarcastic
The @Pontifex talks benefits of universal basic income #COVID19  #coronavirus #catholic #EasterSunday https://t.co/2e2BCmroVk,not sarcastic
Hearing Kendrick Perkins refer to Alec Burks as Alecs Burk like he’s attorneys general &gt;&gt;&gt;&gt;,sarcastic
"#CNOH3 what a blast! Thanks to @nicholas_vince, @shaunamacd0nald &amp; the beautiful @morganaoreilly for your awesome messages! Much Love! ❤️👹👻💀",not sarcastic
Throwback to when I answered the phone at work with “thank you for calling Courtney! My name is principal” wow I love myself,sarcastic
If someone's not willing to fight for you then they don't deserve to be kept around #moveon,not sarcastic
"facebook is so ridiculously broken. absolute garbage platform, -2/10.",not sarcastic
why is there a hurricane in the atlantic rn and where is she going,not sarcastic
@NotMikeRNG @DynastyDegener1 @myost73 @nolan_szn @BearBadger2 @JesseRogersESPN Regardless of everything else I think it's weird you would imply Pujols definitely juiced where Bonds didn't. I don't think it would be hypocritical to argue against both but there's no reason to be intentionally difficult.,not sarcastic
"me: I’m gonna wash my hair and shave my legs! 
Me instead: I’m gonna dissociate in the shower for 45 minutes",not sarcastic
"@joanne1894 @chillimac63 I haven’t said anything in regards to the case, the allegations, the crime.

I honestly have no idea how you’ve drawn that conclusion.",not sarcastic
Wow great album from Kanye. v John Cage 4’43 vibes x,sarcastic
I’ll miss waking up and hearing all the exciting news from overnight. I’ll miss the BBC coverage keeping me company during the day as I’m working. I’ll miss the feeling that there’s more to come the following day…,not sarcastic
I miss y'all so much already 😭😭 i got nothing to do but swipe on bumble and try to get the dogs attention,not sarcastic
I reckon I could have put that in the net Morelos sir,sarcastic
getting ready is better than going out,not sarcastic
"@BioMarkDarrah @Bio_Warner @GambleMike @BenIrvo Not sure if this has been answered somewhere or not, but are the MTX going to be live for Early Access, or is that something for the 22nd?",not sarcastic
i have gone this entire morning thinking it was tuesday,not sarcastic
Last night I wanted a quesadilla so bad but I ate salad. Now though??? My time has come. I am eating a quesadilla.,not sarcastic
Woah. This anime recommendation I am identifying with way too hard tbh. Because it is pretty spot on. It is also so dark I should probably not even mention the name. owo,not sarcastic
this week is going so slow 😩,not sarcastic
"I turn 30 in just over three months from now, and I’m feeling weird about it. On one hand, I know that aging is normal and okay and good and that most people are happier in their 30s compared to their 20s, and that 30 is not “old.” On the other hand, I feel nervous and sad.",not sarcastic
besties i may have flooded my bathroom with an inch of water,not sarcastic
"4-0 this morning, 0-1 this afternoon. Luck possibly changing.",not sarcastic
@isekaimusician @desi_guardiola @FutbolBible @Yajmal13 This is a myth actually. It can't happen . But certainly you can choke on vomit so it's important to clear airways,not sarcastic
Not me seriously debating buying a singular can of monsta energy of amazon because I'm really craving one but I'd feel guilty if I went into Tesco just to buy one,not sarcastic
Hay bales are forbidden tater tots.,not sarcastic
I want a bloomin’ onion,not sarcastic
i think....when packs go on sale....i will buy Get Together and Paranormal?? 🤔 i was actually kind of disappointed with the gameplay i saw in Paranormal but recently i've been craving new careers so,not sarcastic
I got a copywriting internship 🥺,not sarcastic
Herbert’s vision is elite #Hokies,not sarcastic
i just deleted every tweet from beyond this year because connor wouldnt stop asking for my cringy ass twitter damn,not sarcastic
Off to london today for the Aurora Programme! See all you girl bosses there! 💁🏽‍♀️💕 #Iamaurora,not sarcastic
HELMET CAM 😍😍😍😍#BelgianGP #SkyF1,not sarcastic
"Just witnessed [in person] a beautiful murmuration. Stunning.

❤",not sarcastic
Simone Biles is the strongest person I know and I will straight up fight anybody who tries to say something else. Also I would still die for Grace McCallum she is so precious.,not sarcastic
"""Should I wear my lime green pants?"" dad its 4th of july...",sarcastic
Got razor burn on my mf armpits so that’s it this pain ain’t worth societal expectations on women,not sarcastic
"i came to a revelation today and was finally honest with myself about what i want to do with my life, super proud of me right now",not sarcastic
Just walked past a girl wearing a yellow t-shirt that says 'Danny DeVito' on it. Now I can't think of anything else.,not sarcastic
There's a girl with a heavenly voice singing for charity outside #ealingbroadway station,not sarcastic
getting into a high speed chase with the cops but using my turn signals in accordance with the law the whole time,not sarcastic
"My top 3 movies off the last decade in no particular order... Hereditary, It Follows and What We Do in the Shadows. Yes.",not sarcastic
"Fly 👏 the 👏 L 👏 

#ThisIsMyCrew",not sarcastic
"Like all humans, I make some decisions that go against the best interests of myself or others. One such decision is sometimes eating too much sugar, another was consuming animal products. I would love the government to nudge me towards better decisions. #NationalFoodStrategy",not sarcastic
Velvet Buzzsaw was good and all but I’m sorry how is Morf a literal millionaire and uses a flip phone from 2004,not sarcastic
just expressing my love for brandi carlile and brittney howard that is all,not sarcastic
Holby City had me gripped! Best. Episode. Ever.,not sarcastic
"@sethrogenvevo I'm not sure exactly how on iPhones, but I know my Android let's me back up my saved voice mail messages on Google drive! I can look into it for you for iPhones",not sarcastic
I’m well taken care of over here😊😊,not sarcastic
