utterance,intent
as much as i like being home i miss my uni pals and messing around in the kitchen at 2am,not sarcastic
"my favorite thing in the world is turning on another reality show &amp; having katie and joey be like ""this is the dumbest shit i've ever fucking seen"" and then a week later they're 40 episodes deep yelling at the tv😌 my job here is done. we got em again boys",not sarcastic
there’s no better way to wake up than having one dog jump directly on your stomach and knock the wind out of you while the other drop a dead rodent on the end of the bed. 😑,sarcastic
Running on 2 hours of sleep the past 2 days 🥴,not sarcastic
Do the people on love island not feel so awkward meeting their partners parents in a bloody bikini?!,not sarcastic
thats it im packing my things and moving to italy see u all in a month xo,sarcastic
America needs better sex and reproductive education!,not sarcastic
Anyone else hear some like thunder or something?,sarcastic
"Love and kindness are never wasted. They always make a difference. They bless the one who receives them, and they bless you, the giver.” — Barbara De Angelis. 💕#BeKind #inspirationalquote https://t.co/h2Buc0tWev",not sarcastic
my math prof is so fucked up for giving us a midterm tmrw.  i am unwell,not sarcastic
@NRA Number one lesson: 20 years on and we still have enemies.  Test this against ANY 20 year span in our history.  Resist those who will dominate you!,not sarcastic
Jeudy :(,not sarcastic
victini is my favorite pokemon,not sarcastic
"@kazzacoey @UKLabour The old phrase that says, if you are in the middle of the road you will be run over. Starmer is stuck like a record that is stuck in the same groove and nobody wants to hear that. Also where are the policies?",not sarcastic
The world we live in today actually disgusts me.,not sarcastic
As if we’re all actually going back to the footy tomorrow literally gonna be epic,not sarcastic
My mental state is getting dangerously close to Ben Wyatt’s that time he spent weeks on a 3 second claymation movie,not sarcastic
I'm not really in favour of gun control at all but I find it incredibly interesting that Americans on both the far left and the right will often use the necessity of defending yourself against an oppressive state as the reason for maintaining free access to firearms. 1/2,not sarcastic
If I could have a superpower I would choose the ability to keep insects at least 10 feet away from me at all times,not sarcastic
I haven’t been to the roxy in a while obviously but DAMN I don’t remember it being this hot in here jesus get some AC,not sarcastic
"me: *finishes book 100 of the year, gets excited to relax and watch trash tv the rest of the year*

also me: *starts book 101 ten minutes later*",not sarcastic
"will never understand why ppl do meth,, just buy a shit tonne of incense in bulk stupid",sarcastic
How do you figure out the guy in the office who doesn't have a smartphone? He's the one walking into the bathroom with a book under his arm.,not sarcastic
Refs dashing out yellows to united players for jokes,not sarcastic
Andre 3000 is too good for any of this shit,not sarcastic
My living room feels really lively now. I’m recklessly sipping tea absorbing choons #TaeSup,sarcastic
"New year, new me, noodles",not sarcastic
"was not back in the states for even 5 minutes before someone ran into me at the airport with their suitcase and said “ope, sorry!” 

I’m home :-)",not sarcastic
Me on a Monday. https://t.co/dmNXgVM6Ar,not sarcastic
"Gotta feel for the Swiss, and Sommer in particular. What an amazing fight they showed. Just what you want to see at a major tournament. #Euro2020",not sarcastic
I entered @grav3yardgirl HUGE BACK TO SCHOOL GIVEAWAY to win a macbook pro &amp; tons of other prizes! CHECK IT OUT HERE! https://t.co/qwNsVghNAc #grav3yardgirl,not sarcastic
Bernie Sanders is the greatest president America will never have.,not sarcastic
A rainy Friday is so weird I truly never know how to act,not sarcastic
every time something happens to the stock market it just becomes more and more clear that i don’t understand the stock market,not sarcastic
gaslight gatekeep girl boss,sarcastic
3rd shift down already told em bout the clowns they’re not fans,not sarcastic
"If you prefer chipotle over moes it’s honestly a deal breaker, nothing can beat moes",not sarcastic
seeing people post gofundmes simply so they can get their education breaks my heart,not sarcastic
@pamparoni keyboard and mouse weigh nothing the monitors are a little iffy though,not sarcastic
Boehner not clapping for gender pay equality. COOL.,sarcastic
"July 1st. Half way point of the year. Well I think we can all agree that 2020 has gone swimmingly so far. 
Can’t wait for part 2. 
#murderhornets",sarcastic
pay it forward is honestly one of the worst movies I've ever seen why would would anyone make an ending so sad I've been crying for 30 min,sarcastic
@JessicaChung13 4) never take a first hour class,not sarcastic
