utterance,intent
"Maybe if we didn’t comment on things that don’t concern us, the world would be a happier place?? But what do I know🤷🏻‍♀️",sarcastic
"I dunno where I was when I was dreaming last night, but I woke up with sunglasses on....",not sarcastic
@ChiminoRobin Awe. That's far and kind.  Blessings.,not sarcastic
"Just caught Jamie talking about me with his nan, he showed her a picture he took of me and she said ""aw she's gorgeous isn't she"" MY HEART 🥺💕",not sarcastic
I think about bagels more times a day than I'd like to admit,not sarcastic
Going out is overrated! On the couch watching serial killer documentaries is how I like to spend my Fridays 👵🏼🕵🏻‍♀️,not sarcastic
(this is not to say I don’t love helping out on CTL or volunteering - I just don’t love doing it all at once during finals to check a box off 🙃),not sarcastic
It's hard to cope without any hope.,not sarcastic
"An inspiring afternoon spent hearing the impact of #FGM first hand, from an incredible survivor.

One in three women will experience gender-based violence in their lifetime. A shocking statistic that brings home the prevalence of this issue. https://t.co/UBhvWT3dAi",not sarcastic
"Broadband back, starting to feel a bit more normal.",not sarcastic
it’s always the girls I don’t even know that wanna talk about me 24/7 :) I love my fans :),sarcastic
i fucking love rob beckett,not sarcastic
tiktok's full name is tictactoetok,sarcastic
Love it when I forget to transfer my rent money over from my savings 🥴,sarcastic
People are always like “I don’t remember what life was like before covid” but for me it’s more like “idk what life was like before TikTok”,not sarcastic
oh my god i have the Hawai'i twitter baddie in my class this semester i will try not to fangirl!!,not sarcastic
"""@elliekonsker: if u wear heels to school i have a few questions: 1. why"" ask some of the salcc girls",not sarcastic
"My college will be starting its fall semester, the first semester of my senior year, online. 

The announcement came eight days before RAs would have moved in. Leases have already been signed; flights were already bought. 

And for the cherry on top, they're increasing tuition.",not sarcastic
I WANT TO GO TO THE BEACH !!!,not sarcastic
"After my Holland &amp; Barrett parcel was damaged on its way to me, I had to send probably the most middle class e-mail of my life, asking them to please resend the order ASAP as I was running out of kombucha.",not sarcastic
"Every day for the past three days, I've pulled up a taco bell doordash order, and filled up my cart, and closed the window to not follow through with it.",not sarcastic
"Just been told I need to resit a piece of coursework, it's due on the 15th! And I go on holiday on the 10th! Fml!!!",not sarcastic
"It's nice to see some heritage organisations are doing the right thing and putting the safety of their staff, visitors and volunteers first. Wonder what that's like...
...for reasons, this is aimed at nobody.",sarcastic
thanks to everyone for all the love and support!!! so blessed to have this opportunity!  officially a mustang!! #stanggang @Mside_Softball @AquinasNation https://t.co/8eqyrglBCf,not sarcastic
"You guys, how cool would a British version of Breaking Bad be?

Lol jk, they have universal health care so Walter White would never have to resort to cooking meth in a trailer to be able to fund his cancer treatment.",sarcastic
it feels so good to finally be home and in our bed,not sarcastic
Lil Pump is the Nelson Mandela of our generation,sarcastic
"youve heard of coffee enemas 
now get ready for coffee bidets",not sarcastic
i really hate goodreads notification system IF I DECLINE A FRIEND REQUEST TAKE IT OUT MY NOTIFS 😭,not sarcastic
My bank account when I’m bored and online shop during work https://t.co/ZqgMBKXSP9,not sarcastic
"sometimes i gaslight myself into thinking my fear of and general discomfort with men is stupid and i'm actually just a shitty person who makes broad assumptions about ppl due to past trauma but then i speak to One and immediately trust my instincts again, stronger than before",not sarcastic
shang chi meant so fucking much to me. i can hardly imagine what it meant to others.,not sarcastic
"A wise FB friend said today that ""act of terror"" is a misnomer. We defy the terror, moving on and helping those in need. #sotrue",not sarcastic
Please PLEASE do not flirt with your delivery drivers. Literally the WORST,not sarcastic
Las Iguanas 👌😍🍷🍴,not sarcastic
@radiox After I hurt my back I found out I'd been getting out of bed wrong. I'd literally be better off staying in bed,not sarcastic
"Casually looking at the 06Z forecast it seems that the 'previous UKMO forecast interpolated ahead (6hr)' and the 'U.S. Navy COAMPS-TC model forecast interpolated ahead (6hr)' models have been smoking something. 🤔

#Hurricane #Larry #WXGeek #WXTwitter",not sarcastic
i just saw the loveliest cat on the way home :),not sarcastic
IMAGINE the outcry if SNP voters went and celebrated this win that actually means something in the same way that Rangers fans ‘celebrated’ a few weeks ago over football game.,not sarcastic
"#GhostOfTsushima #PS5Share, #GhostofTsushima https://t.co/Y90ImGF97b",not sarcastic
